country,year,quarter,hpi,inflation,interest_rate,date,hpi_qoq_change,inflation_qoq_change,interest_rate_qoq_change,hpi_yoy_change,inflation_yoy_change,interest_rate_yoy_change
LV,2024,Q1,193.14,0.9,4.0,2024-01-01,2.66,-37.21,0.0,3.62,-95.4,70.94
LV,2024,Q2,196.94,0.8666666666666667,3.95,2024-04-01,1.97,-3.7,-1.25,0.72,-92.66,24.61
LV,2024,Q3,203.62,1.1,3.71,2024-07-01,3.39,26.92,-6.08,5.25,-79.11,0.54
LV,2024,Q4,201.9,2.6,3.27,2024-10-01,-0.84,136.36,-11.86,7.31,81.4,-18.25
LV,2025,Q1,203.64,3.4333333333333336,2.79,2025-01-01,0.86,32.05,-14.68,5.44,281.48,-30.25
LV,2025,Q2,209.67,3.8666666666666663,2.26,2025-04-01,2.96,12.62,-19.0,6.46,346.15,-42.78
LV,2025,Q3,220.67,4.1000000000000005,2.0,2025-07-01,5.25,6.03,-11.5,8.37,272.73,-46.09
MT,2005,Q1,56.65,2.3000000000000003,1.0,2005-01-01,,,,,,
MT,2005,Q2,56.48,2.1666666666666665,1.0,2005-04-01,-0.3,-5.8,0.0,,,
MT,2005,Q3,61.17,2.1,1.0,2005-07-01,8.3,-3.08,0.0,,,
MT,2005,Q4,59.43,3.533333333333333,1.07,2005-10-01,-2.84,68.25,7.0,,,
MT,2006,Q1,62.34,2.533333333333333,1.32,2006-01-01,4.9,-28.3,23.36,10.04,10.14,32.0
MT,2006,Q2,69.34,3.4333333333333336,1.54,2006-04-01,11.23,35.53,16.67,22.77,58.46,54.0
MT,2006,Q3,71.59,3.233333333333333,1.89,2006-07-01,3.24,-5.83,22.73,17.03,53.97,89.0
MT,2006,Q4,76.88,1.1333333333333333,2.27,2006-10-01,7.39,-64.95,20.11,29.36,-67.92,112.15
MT,2007,Q1,80.89,0.8333333333333334,2.55,2007-01-01,5.22,-26.47,12.33,29.76,-67.11,93.18
MT,2007,Q2,84.76,-0.9,2.8,2007-04-01,4.78,-208.0,9.8,22.24,-126.21,81.82
MT,2007,Q3,86.24,0.4333333333333333,3.0,2007-07-01,1.75,-148.15,7.14,20.46,-86.6,58.73
MT,2007,Q4,87.1,2.5,3.0,2007-10-01,1.0,476.92,0.0,13.29,120.59,32.16
MT,2008,Q1,94.4,4.0,3.0,2008-01-01,8.38,60.0,0.0,16.7,380.0,17.65
MT,2008,Q2,90.54,4.2,3.0,2008-04-01,-4.09,5.0,0.0,6.82,-566.67,7.14
MT,2008,Q3,96.44,5.3,3.23,2008-07-01,6.52,26.19,7.67,11.83,1123.08,7.67
MT,2008,Q4,95.19,5.2,2.79,2008-10-01,-1.3,-1.89,-13.62,9.29,108.0,-7.0
MT,2009,Q1,91.74,3.5,1.11,2009-01-01,-3.62,-32.69,-60.22,-2.82,-12.5,-63.0
MT,2009,Q2,89.78,3.3666666666666667,0.27,2009-04-01,-2.14,-3.81,-75.68,-0.84,-19.84,-91.0
MT,2009,Q3,90.87,0.8666666666666667,0.25,2009-07-01,1.21,-74.26,-7.41,-5.78,-83.65,-92.26
MT,2009,Q4,87.9,-0.3333333333333333,0.25,2009-10-01,-3.27,-138.46,0.0,-7.66,-106.41,-91.04
MT,2010,Q1,91.5,0.9,0.25,2010-01-01,4.1,-370.0,0.0,-0.26,-74.29,-77.48
MT,2010,Q2,91.16,1.4666666666666668,0.25,2010-04-01,-0.37,62.96,0.0,1.54,-56.44,-7.41
MT,2010,Q3,94.04,2.6333333333333333,0.25,2010-07-01,3.16,79.55,0.0,3.49,203.85,0.0
MT,2010,Q4,87.45,3.1666666666666665,0.25,2010-10-01,-7.01,20.25,0.0,-0.51,-1050.0,0.0
MT,2011,Q1,88.65,2.9333333333333336,0.25,2011-01-01,1.37,-7.37,0.0,-3.11,225.93,0.0
MT,2011,Q2,90.79,2.6666666666666665,0.47,2011-04-01,2.41,-9.09,88.0,-0.41,81.82,88.0
MT,2011,Q3,91.03,2.5666666666666664,0.72,2011-07-01,0.26,-3.75,53.19,-3.2,-2.53,188.0
MT,2011,Q4,88.73,1.9,0.56,2011-10-01,-2.53,-25.97,-22.22,1.46,-40.0,124.0
MT,2012,Q1,90.5,2.3000000000000003,0.25,2012-01-01,1.99,21.05,-55.36,2.09,-21.59,0.0
MT,2012,Q2,89.49,3.9333333333333336,0.25,2012-04-01,-1.12,71.01,0.0,-1.43,47.5,-46.81
MT,2012,Q3,96.03,3.4333333333333336,0.03,2012-07-01,7.31,-12.71,-88.0,5.49,33.77,-95.83
MT,2012,Q4,94.13,3.1666666666666665,0.0,2012-10-01,-1.98,-7.77,-100.0,6.09,66.67,-100.0
MT,2013,Q1,91.37,1.8666666666666665,0.0,2013-01-01,-2.93,-41.05,,0.96,-18.84,-100.0
MT,2013,Q2,90.1,0.7666666666666666,0.0,2013-04-01,-1.39,-58.93,,0.68,-80.51,-100.0
MT,2013,Q3,94.33,0.7333333333333334,0.0,2013-07-01,4.69,-4.35,,-1.77,-78.64,-100.0
MT,2013,Q4,92.83,0.5666666666666667,0.0,2013-10-01,-1.59,-22.73,,-1.38,-82.11,
MT,2014,Q1,92.82,1.3333333333333333,0.0,2014-01-01,-0.01,135.29,,1.59,-28.57,
MT,2014,Q2,92.73,0.5333333333333333,-0.02,2014-04-01,-0.1,-60.0,-inf,2.92,-30.43,-inf
MT,2014,Q3,94.58,0.6666666666666666,-0.12,2014-07-01,2.0,25.0,500.0,0.27,-9.09,-inf
MT,2014,Q4,97.92,0.6,-0.2,2014-10-01,3.53,-10.0,66.67,5.48,5.88,-inf
MT,2015,Q1,95.3,0.6333333333333333,-0.2,2015-01-01,-2.68,5.56,0.0,2.67,-52.5,-inf
MT,2015,Q2,96.07,1.2666666666666666,-0.2,2015-04-01,0.81,100.0,0.0,3.6,137.5,900.0
MT,2015,Q3,102.72,1.4,-0.2,2015-07-01,6.92,10.53,0.0,8.61,110.0,66.67
MT,2015,Q4,105.92,1.4,-0.23,2015-10-01,3.12,0.0,15.0,8.17,133.33,15.0
MT,2016,Q1,100.29,0.9333333333333332,-0.32,2016-01-01,-5.32,-33.33,39.13,5.24,47.37,60.0
MT,2016,Q2,102.78,0.9333333333333332,-0.4,2016-04-01,2.48,0.0,25.0,6.98,-26.32,100.0
MT,2016,Q3,107.62,0.9333333333333332,-0.4,2016-07-01,4.71,0.0,0.0,4.77,-33.33,100.0
MT,2016,Q4,111.12,0.7666666666666666,-0.4,2016-10-01,3.25,-17.86,0.0,4.91,-45.24,73.91
MT,2017,Q1,105.61,1.2666666666666666,-0.4,2017-01-01,-4.96,65.22,0.0,5.3,35.71,25.0
MT,2017,Q2,108.88,1.0666666666666669,-0.4,2017-04-01,3.1,-15.79,0.0,5.94,14.29,0.0
MT,2017,Q3,113.02,1.2,-0.4,2017-07-01,3.8,12.5,0.0,5.02,28.57,0.0
MT,2017,Q4,116.59,1.4333333333333331,-0.4,2017-10-01,3.16,19.44,0.0,4.92,86.96,0.0
MT,2018,Q1,111.25,1.2666666666666666,-0.4,2018-01-01,-4.58,-11.63,0.0,5.34,0.0,0.0
MT,2018,Q2,115.49,1.7,-0.4,2018-04-01,3.81,34.21,0.0,6.07,59.37,0.0
MT,2018,Q3,119.27,2.3333333333333335,-0.4,2018-07-01,3.27,37.25,0.0,5.53,94.44,0.0
MT,2018,Q4,123.77,1.5666666666666669,-0.4,2018-10-01,3.77,-32.86,0.0,6.16,9.3,0.0
MT,2019,Q1,118.53,1.2,-0.4,2019-01-01,-4.23,-23.4,0.0,6.54,-5.26,0.0
MT,2019,Q2,122.76,1.7333333333333334,-0.4,2019-04-01,3.57,44.44,0.0,6.29,1.96,0.0
MT,2019,Q3,126.44,1.7666666666666666,-0.41,2019-07-01,3.0,1.92,2.5,6.01,-24.29,2.5
MT,2019,Q4,130.86,1.3333333333333333,-0.5,2019-10-01,3.5,-24.53,21.95,5.73,-14.89,25.0
MT,2020,Q1,125.06,1.2333333333333334,-0.5,2020-01-01,-4.43,-7.5,0.0,5.51,2.78,25.0
MT,2020,Q2,127.57,1.0,-0.5,2020-04-01,2.01,-18.92,0.0,3.92,-42.31,25.0
MT,2020,Q3,129.81,0.6333333333333333,-0.5,2020-07-01,1.76,-36.67,0.0,2.67,-64.15,21.95
MT,2020,Q4,133.01,0.3333333333333333,-0.5,2020-10-01,2.47,-47.37,0.0,1.64,-75.0,0.0
MT,2021,Q1,130.82,0.1333333333333333,-0.5,2021-01-01,-1.65,-60.0,0.0,4.61,-89.19,0.0
MT,2021,Q2,134.42,0.1666666666666666,-0.5,2021-04-01,2.75,25.0,0.0,5.37,-83.33,0.0
MT,2021,Q3,137.52,0.4666666666666666,-0.5,2021-07-01,2.31,180.0,0.0,5.94,-26.32,0.0
MT,2021,Q4,138.99,2.1333333333333333,-0.5,2021-10-01,1.07,357.14,0.0,4.5,540.0,0.0
MT,2022,Q1,139.69,4.266666666666667,-0.5,2022-01-01,0.5,100.0,0.0,6.78,3100.0,0.0
MT,2022,Q2,144.63,5.766666666666667,-0.5,2022-04-01,3.54,35.16,0.0,7.6,3360.0,0.0
MT,2022,Q3,146.23,7.066666666666666,0.0,2022-07-01,1.11,22.54,-100.0,6.33,1414.29,-100.0
MT,2022,Q4,147.24,7.3,1.3,2022-10-01,0.69,3.3,inf,5.94,242.19,-360.0
MT,2023,Q1,149.89,6.966666666666666,2.34,2023-01-01,1.8,-4.57,80.0,7.3,63.28,-568.0
MT,2023,Q2,152.24,6.3,3.17,2023-04-01,1.57,-9.57,35.47,5.26,9.25,-734.0
MT,2023,Q3,154.51,5.166666666666667,3.69,2023-07-01,1.49,-17.99,16.4,5.66,-26.89,inf
MT,2023,Q4,157.05,3.9333333333333336,4.0,2023-10-01,1.64,-23.87,8.4,6.66,-46.12,207.69
MT,2024,Q1,159.98,3.1333333333333333,4.0,2024-01-01,1.87,-20.34,0.0,6.73,-55.02,70.94
MT,2024,Q2,162.74,2.3000000000000003,3.95,2024-04-01,1.73,-26.6,-1.25,6.9,-63.49,24.61
MT,2024,Q3,165.26,2.2666666666666666,3.71,2024-07-01,1.55,-1.45,-6.08,6.96,-56.13,0.54
MT,2024,Q4,166.96,2.1,3.27,2024-10-01,1.03,-7.35,-11.86,6.31,-46.61,-18.25
MT,2025,Q1,169.36,1.9666666666666668,2.79,2025-01-01,1.44,-6.35,-14.68,5.86,-37.23,-30.25
MT,2025,Q2,171.84,2.6,2.26,2025-04-01,1.46,32.2,-19.0,5.59,13.04,-42.78
MT,2025,Q3,174.63,2.533333333333333,2.0,2025-07-01,1.62,-2.56,-11.5,5.67,11.76,-46.09
NL,2005,Q1,104.59,1.4333333333333331,1.0,2005-01-01,,,,,,
NL,2005,Q2,105.68,1.2333333333333334,1.0,2005-04-01,1.04,-13.95,0.0,,,
NL,2005,Q3,107.22,1.6333333333333335,1.0,2005-07-01,1.46,32.43,0.0,,,
NL,2005,Q4,107.7,1.7,1.07,2005-10-01,0.45,4.08,7.0,,,
NL,2006,Q1,108.87,1.5333333333333332,1.32,2006-01-01,1.09,-9.8,23.36,4.09,6.98,32.0
NL,2006,Q2,110.28,1.8,1.54,2006-04-01,1.3,17.39,16.67,4.35,45.95,54.0
NL,2006,Q3,111.55,1.7333333333333334,1.89,2006-07-01,1.15,-3.7,22.73,4.04,6.12,89.0
NL,2006,Q4,112.56,1.5666666666666669,2.27,2006-10-01,0.91,-9.62,20.11,4.51,-7.84,112.15
NL,2007,Q1,114.01,1.5,2.55,2007-01-01,1.29,-4.26,12.33,4.72,-2.17,93.18
NL,2007,Q2,115.06,1.9,2.8,2007-04-01,0.92,26.67,9.8,4.33,5.56,81.82
NL,2007,Q3,117.26,1.2666666666666666,3.0,2007-07-01,1.91,-33.33,7.14,5.12,-26.92,58.73
NL,2007,Q4,118.4,1.6666666666666667,3.0,2007-10-01,0.97,31.58,0.0,5.19,6.38,32.16
NL,2008,Q1,118.46,1.9,3.0,2008-01-01,0.05,14.0,0.0,3.9,26.67,17.65
NL,2008,Q2,118.67,2.033333333333333,3.0,2008-04-01,0.18,7.02,0.0,3.14,7.02,7.14
NL,2008,Q3,120.17,2.9333333333333336,3.23,2008-07-01,1.26,44.26,7.67,2.48,131.58,7.67
NL,2008,Q4,117.64,2.033333333333333,2.79,2008-10-01,-2.11,-30.68,-13.62,-0.64,22.0,-7.0
NL,2009,Q1,116.48,1.8,1.11,2009-01-01,-0.99,-11.48,-60.22,-1.67,-5.26,-63.0
NL,2009,Q2,113.12,1.5666666666666669,0.27,2009-04-01,-2.88,-12.96,-75.68,-4.68,-22.95,-91.0
NL,2009,Q3,112.14,-0.0666666666666666,0.25,2009-07-01,-0.87,-104.26,-7.41,-6.68,-102.27,-92.26
NL,2009,Q4,112.1,0.6,0.25,2009-10-01,-0.04,-1000.0,0.0,-4.71,-70.49,-91.04
NL,2010,Q1,111.67,0.5,0.25,2010-01-01,-0.38,-16.67,0.0,-4.13,-72.22,-77.48
NL,2010,Q2,111.54,0.4333333333333333,0.25,2010-04-01,-0.12,-13.33,0.0,-1.4,-72.34,-7.41
NL,2010,Q3,111.68,1.3,0.25,2010-07-01,0.13,200.0,0.0,-0.41,-2050.0,0.0
NL,2010,Q4,111.02,1.5333333333333332,0.25,2010-10-01,-0.59,17.95,0.0,-0.96,155.56,0.0
NL,2011,Q1,111.18,1.9,0.25,2011-01-01,0.14,23.91,0.0,-0.44,280.0,0.0
NL,2011,Q2,109.59,2.233333333333333,0.47,2011-04-01,-1.43,17.54,88.0,-1.75,415.38,88.0
NL,2011,Q3,109.17,3.1333333333333333,0.72,2011-07-01,-0.38,40.3,53.19,-2.25,141.03,188.0
NL,2011,Q4,107.15,2.6333333333333333,0.56,2011-10-01,-1.85,-15.96,-22.22,-3.49,71.74,124.0
NL,2012,Q1,105.19,2.9,0.25,2012-01-01,-1.83,10.13,-55.36,-5.39,52.63,0.0
NL,2012,Q2,103.45,2.6,0.25,2012-04-01,-1.65,-10.34,0.0,-5.6,16.42,-46.81
NL,2012,Q3,99.39,2.566666666666667,0.03,2012-07-01,-3.92,-1.28,-88.0,-8.96,-18.09,-95.83
NL,2012,Q4,99.79,3.3000000000000003,0.0,2012-10-01,0.4,28.57,-100.0,-6.87,25.32,-100.0
NL,2013,Q1,97.07,3.2000000000000006,0.0,2013-01-01,-2.73,-3.03,,-7.72,10.34,-100.0
NL,2013,Q2,95.04,3.033333333333333,0.0,2013-04-01,-2.09,-5.21,,-8.13,16.67,-100.0
NL,2013,Q3,95.69,2.766666666666667,0.0,2013-07-01,0.68,-8.79,,-3.72,7.79,-100.0
NL,2013,Q4,95.42,1.3,0.0,2013-10-01,-0.28,-53.01,,-4.38,-60.61,
NL,2014,Q1,95.82,0.4333333333333333,0.0,2014-01-01,0.42,-66.67,,-1.29,-86.46,
NL,2014,Q2,96.37,0.3333333333333333,-0.02,2014-04-01,0.57,-23.08,-inf,1.4,-89.01,-inf
NL,2014,Q3,96.94,0.3333333333333333,-0.12,2014-07-01,0.59,0.0,500.0,1.31,-87.95,-inf
NL,2014,Q4,97.31,0.1999999999999999,-0.2,2014-10-01,0.38,-40.0,66.67,1.98,-84.62,-inf
NL,2015,Q1,98.29,-0.5,-0.2,2015-01-01,1.01,-350.0,0.0,2.58,-215.38,-inf
NL,2015,Q2,99.2,0.3999999999999999,-0.2,2015-04-01,0.93,-180.0,0.0,2.94,20.0,900.0
NL,2015,Q3,101.02,0.5,-0.2,2015-07-01,1.83,25.0,0.0,4.21,50.0,66.67
NL,2015,Q4,101.5,0.4333333333333333,-0.23,2015-10-01,0.48,-13.33,15.0,4.31,116.67,15.0
NL,2016,Q1,102.52,0.3333333333333333,-0.32,2016-01-01,1.0,-23.08,39.13,4.3,-166.67,60.0
NL,2016,Q2,104.03,-0.2,-0.4,2016-04-01,1.47,-160.0,25.0,4.87,-150.0,100.0
NL,2016,Q3,106.58,-0.1999999999999999,-0.4,2016-07-01,2.45,-0.0,0.0,5.5,-140.0,100.0
NL,2016,Q4,108.03,0.4666666666666666,-0.4,2016-10-01,1.36,-333.33,0.0,6.43,7.69,73.91
NL,2017,Q1,110.2,1.3,-0.4,2017-01-01,2.01,178.57,0.0,7.49,290.0,25.0
NL,2017,Q2,112.06,1.0333333333333332,-0.4,2017-04-01,1.69,-20.51,0.0,7.72,-616.67,0.0
NL,2017,Q3,115.22,1.4666666666666668,-0.4,2017-07-01,2.82,41.94,0.0,8.11,-833.33,0.0
NL,2017,Q4,117.74,1.3333333333333333,-0.4,2017-10-01,2.19,-9.09,0.0,8.99,185.71,0.0
NL,2018,Q1,120.32,1.2666666666666666,-0.4,2018-01-01,2.19,-5.0,0.0,9.18,-2.56,0.0
NL,2018,Q2,122.64,1.5333333333333332,-0.4,2018-04-01,1.93,21.05,0.0,9.44,48.39,0.0
NL,2018,Q3,126.45,1.8,-0.4,2018-07-01,3.11,17.39,0.0,9.75,22.73,0.0
NL,2018,Q4,128.2,1.8333333333333333,-0.4,2018-10-01,1.38,1.85,0.0,8.88,37.5,0.0
NL,2019,Q1,130.34,2.5,-0.4,2019-01-01,1.67,36.36,0.0,8.33,97.37,0.0
NL,2019,Q2,132.15,2.6666666666666665,-0.4,2019-04-01,1.39,6.67,0.0,7.75,73.91,0.0
NL,2019,Q3,134.49,2.8000000000000003,-0.41,2019-07-01,1.77,5.0,2.5,6.36,55.56,2.5
NL,2019,Q4,136.54,2.733333333333333,-0.5,2019-10-01,1.52,-2.38,21.95,6.51,49.09,25.0
NL,2020,Q1,139.3,1.3666666666666665,-0.5,2020-01-01,2.02,-50.0,0.0,6.87,-45.33,25.0
NL,2020,Q2,142.6,1.2666666666666666,-0.5,2020-04-01,2.37,-7.32,0.0,7.91,-52.5,25.0
NL,2020,Q3,146.0,0.9666666666666668,-0.5,2020-07-01,2.38,-23.68,0.0,8.56,-65.48,21.95
NL,2020,Q4,148.37,0.9333333333333332,-0.5,2020-10-01,1.62,-3.45,0.0,8.66,-65.85,0.0
NL,2021,Q1,153.72,1.8,-0.5,2021-01-01,3.61,92.86,0.0,10.35,31.71,0.0
NL,2021,Q2,160.55,1.8,-0.5,2021-04-01,4.44,0.0,0.0,12.59,42.11,0.0
NL,2021,Q3,169.59,2.3666666666666667,-0.5,2021-07-01,5.63,31.48,0.0,16.16,144.83,0.0
NL,2021,Q4,175.9,5.333333333333333,-0.5,2021-10-01,3.72,125.35,0.0,18.55,471.43,0.0
NL,2022,Q1,182.94,8.866666666666665,-0.5,2022-01-01,4.0,66.25,0.0,19.01,392.59,0.0
NL,2022,Q2,188.58,10.433333333333332,-0.5,2022-04-01,3.08,17.67,0.0,17.46,479.63,0.0
NL,2022,Q3,189.95,14.133333333333333,0.0,2022-07-01,0.73,35.46,-100.0,12.01,497.18,-100.0
NL,2022,Q4,185.89,13.033333333333331,1.3,2022-10-01,-2.14,-7.78,inf,5.68,144.37,-360.0
NL,2023,Q1,183.14,7.266666666666667,2.34,2023-01-01,-1.48,-44.25,80.0,0.11,-18.05,-568.0
NL,2023,Q2,180.92,6.333333333333333,3.17,2023-04-01,-1.21,-12.84,35.47,-4.06,-39.3,-734.0
NL,2023,Q3,182.91,2.8000000000000003,3.69,2023-07-01,1.1,-55.79,16.4,-3.71,-80.19,inf
NL,2023,Q4,186.07,0.4666666666666666,4.0,2023-10-01,1.73,-83.33,8.4,0.1,-96.42,207.69
NL,2024,Q1,189.87,2.966666666666667,4.0,2024-01-01,2.04,535.71,0.0,3.67,-59.17,70.94
NL,2024,Q2,194.81,2.9,3.95,2024-04-01,2.6,-2.25,-1.25,7.68,-54.21,24.61
NL,2024,Q3,201.98,3.3666666666666667,3.71,2024-07-01,3.68,16.09,-6.08,10.43,20.24,0.54
NL,2024,Q4,206.31,3.6666666666666665,3.27,2024-10-01,2.14,8.91,-11.86,10.88,685.71,-18.25
NL,2025,Q1,210.27,3.3000000000000003,2.79,2025-01-01,1.92,-10.0,-14.68,10.74,11.24,-30.25
NL,2025,Q2,213.35,3.266666666666666,2.26,2025-04-01,1.46,-1.01,-19.0,9.52,12.64,-42.78
NL,2025,Q3,217.61,2.6333333333333333,2.0,2025-07-01,2.0,-19.39,-11.5,7.74,-21.78,-46.09
PL,2010,Q1,104.6,3.4,0.25,2010-01-01,,,,,,
PL,2010,Q2,105.87,2.4,0.25,2010-04-01,1.21,-29.41,0.0,,,
PL,2010,Q3,106.02,2.1,0.25,2010-07-01,0.14,-12.5,0.0,,,
PL,2010,Q4,105.95,2.733333333333333,0.25,2010-10-01,-0.07,30.16,0.0,,,
PL,2011,Q1,105.88,3.6333333333333337,0.25,2011-01-01,-0.07,32.93,0.0,1.22,6.86,0.0
PL,2011,Q2,106.57,4.033333333333333,0.47,2011-04-01,0.65,11.01,88.0,0.66,68.06,88.0
PL,2011,Q3,105.41,3.6666666666666665,0.72,2011-07-01,-1.09,-9.09,53.19,-0.58,74.6,188.0
PL,2011,Q4,104.92,4.266666666666667,0.56,2011-10-01,-0.46,16.36,-22.22,-0.97,56.1,124.0
PL,2012,Q1,103.5,4.133333333333333,0.25,2012-01-01,-1.35,-3.13,-55.36,-2.25,13.76,0.0
PL,2012,Q2,102.82,3.966666666666667,0.25,2012-04-01,-0.66,-4.03,0.0,-3.52,-1.65,-46.81
PL,2012,Q3,101.41,3.9666666666666663,0.03,2012-07-01,-1.37,-0.0,-88.0,-3.79,8.18,-95.83
PL,2012,Q4,100.29,2.733333333333333,0.0,2012-10-01,-1.1,-31.09,-100.0,-4.41,-35.94,-100.0
PL,2013,Q1,97.7,1.2666666666666666,0.0,2013-01-01,-2.58,-53.66,,-5.6,-69.35,-100.0
PL,2013,Q2,97.52,0.5333333333333333,0.0,2013-04-01,-0.18,-57.89,,-5.15,-86.55,-100.0
PL,2013,Q3,97.43,0.8666666666666667,0.0,2013-07-01,-0.09,62.5,,-3.92,-78.15,-100.0
PL,2013,Q4,97.49,0.6,0.0,2013-10-01,0.06,-30.77,,-2.79,-78.05,
PL,2014,Q1,97.15,0.6333333333333333,0.0,2014-01-01,-0.35,5.56,,-0.56,-50.0,
PL,2014,Q2,99.3,0.3,-0.02,2014-04-01,2.21,-52.63,-inf,1.83,-43.75,-inf
PL,2014,Q3,98.66,-0.1666666666666666,-0.12,2014-07-01,-0.64,-155.56,500.0,1.26,-119.23,-inf
PL,2014,Q4,98.89,-0.4333333333333333,-0.2,2014-10-01,0.23,160.0,66.67,1.44,-172.22,-inf
PL,2015,Q1,99.06,-1.2,-0.2,2015-01-01,0.17,176.92,0.0,1.97,-289.47,-inf
PL,2015,Q2,100.43,-0.6333333333333333,-0.2,2015-04-01,1.38,-47.22,0.0,1.14,-311.11,900.0
PL,2015,Q3,100.63,-0.4666666666666666,-0.2,2015-07-01,0.2,-26.32,0.0,2.0,180.0,66.67
PL,2015,Q4,99.88,-0.5,-0.23,2015-10-01,-0.75,7.14,15.0,1.0,15.38,15.0
PL,2016,Q1,100.0,-0.3,-0.32,2016-01-01,0.12,-40.0,39.13,0.95,-75.0,60.0
PL,2016,Q2,100.84,-0.4333333333333333,-0.4,2016-04-01,0.84,44.44,25.0,0.41,-31.58,100.0
PL,2016,Q3,102.73,-0.4333333333333333,-0.4,2016-07-01,1.87,0.0,0.0,2.09,-7.14,100.0
PL,2016,Q4,103.86,0.4000000000000001,-0.4,2016-10-01,1.1,-192.31,0.0,3.98,-180.0,73.91
PL,2017,Q1,103.33,1.7,-0.4,2017-01-01,-0.51,325.0,0.0,3.33,-666.67,25.0
PL,2017,Q2,105.44,1.5333333333333332,-0.4,2017-04-01,2.04,-9.8,0.0,4.56,-453.85,0.0
PL,2017,Q3,106.5,1.4666666666666668,-0.4,2017-07-01,1.01,-4.35,0.0,3.67,-438.46,0.0
PL,2017,Q4,107.86,1.7666666666666666,-0.4,2017-10-01,1.28,20.45,0.0,3.85,341.67,0.0
PL,2018,Q1,109.48,1.0,-0.4,2018-01-01,1.5,-43.4,0.0,5.95,-41.18,0.0
PL,2018,Q2,111.95,1.1666666666666667,-0.4,2018-04-01,2.26,16.67,0.0,6.17,-23.91,0.0
PL,2018,Q3,113.43,1.4333333333333331,-0.4,2018-07-01,1.32,22.86,0.0,6.51,-2.27,0.0
PL,2018,Q4,116.11,1.1666666666666667,-0.4,2018-10-01,2.36,-18.6,0.0,7.65,-33.96,0.0
PL,2019,Q1,118.34,1.2,-0.4,2019-01-01,1.92,2.86,0.0,8.09,20.0,0.0
PL,2019,Q2,121.1,2.1999999999999997,-0.4,2019-04-01,2.33,83.33,0.0,8.17,88.57,0.0
PL,2019,Q3,123.59,2.5,-0.41,2019-07-01,2.06,13.64,2.5,8.96,74.42,2.5
PL,2019,Q4,127.06,2.5666666666666664,-0.5,2019-10-01,2.81,2.67,21.95,9.43,120.0,25.0
PL,2020,Q1,131.66,3.933333333333333,-0.5,2020-01-01,3.62,53.25,0.0,11.26,227.78,25.0
PL,2020,Q2,134.31,3.3666666666666667,-0.5,2020-04-01,2.01,-14.41,0.0,10.91,53.03,25.0
PL,2020,Q3,137.06,3.733333333333333,-0.5,2020-07-01,2.05,10.89,0.0,10.9,49.33,21.95
PL,2020,Q4,138.42,3.6333333333333337,-0.5,2020-10-01,0.99,-2.68,0.0,8.94,41.56,0.0
PL,2021,Q1,141.16,3.866666666666667,-0.5,2021-01-01,1.98,6.42,0.0,7.22,-1.69,0.0
PL,2021,Q2,145.5,4.6,-0.5,2021-04-01,3.07,18.97,0.0,8.33,36.63,0.0
PL,2021,Q3,149.28,5.1000000000000005,-0.5,2021-07-01,2.6,10.87,0.0,8.92,36.61,0.0
PL,2021,Q4,155.15,7.266666666666667,-0.5,2021-10-01,3.93,42.48,0.0,12.09,100.0,0.0
PL,2022,Q1,160.3,9.0,-0.5,2022-01-01,3.32,23.85,0.0,13.56,132.76,0.0
PL,2022,Q2,163.5,12.8,-0.5,2022-04-01,2.0,42.22,0.0,12.37,178.26,0.0
PL,2022,Q3,167.38,14.9,0.0,2022-07-01,2.37,16.41,-100.0,12.12,192.16,-100.0
PL,2022,Q4,169.64,15.933333333333332,1.3,2022-10-01,1.35,6.94,inf,9.34,119.27,-360.0
PL,2023,Q1,169.52,16.099999999999998,2.34,2023-01-01,-0.07,1.05,80.0,5.75,78.89,-568.0
PL,2023,Q2,175.0,12.5,3.17,2023-04-01,3.23,-22.36,35.47,7.03,-2.34,-734.0
PL,2023,Q3,182.88,9.166666666666666,3.69,2023-07-01,4.5,-26.67,16.4,9.26,-38.48,inf
PL,2023,Q4,191.72,6.266666666666667,4.0,2023-10-01,4.83,-31.64,8.4,13.02,-60.67,207.69
PL,2024,Q1,200.04,3.6333333333333337,4.0,2024-01-01,4.34,-42.02,0.0,18.0,-77.43,70.94
PL,2024,Q2,205.92,2.9,3.95,2024-04-01,2.94,-20.18,-1.25,17.67,-76.8,24.61
PL,2024,Q3,209.2,4.066666666666666,3.71,2024-07-01,1.59,40.23,-6.08,14.39,-55.64,0.54
PL,2024,Q4,211.65,4.0,3.27,2024-10-01,1.17,-1.64,-11.86,10.4,-36.17,-18.25
PL,2025,Q1,213.2,4.333333333333333,2.79,2025-01-01,0.73,8.33,-14.68,6.58,19.27,-30.25
PL,2025,Q2,215.66,3.533333333333333,2.26,2025-04-01,1.15,-18.46,-19.0,4.73,21.84,-42.78
PL,2025,Q3,217.54,2.8333333333333335,2.0,2025-07-01,0.87,-19.81,-11.5,3.99,-30.33,-46.09
PT,2008,Q1,109.23,3.0,3.0,2008-01-01,,,,,,
PT,2008,Q2,109.59,2.9,3.0,2008-04-01,0.33,-3.33,0.0,,,
PT,2008,Q3,106.56,3.1333333333333333,3.23,2008-07-01,-2.76,8.05,7.67,,,
PT,2008,Q4,104.74,1.5666666666666669,2.79,2008-10-01,-1.71,-50.0,-13.62,,,
